round_number,region,round,bracket_game_id,team1,team1_seed,team2,team2_seed,next_game_id,next_slot,source_game_url
2,West,Round of 64,W_R64_05,Drake,11,Missouri,6,W_R32_03,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-19-missouri.html
2,West,Round of 64,W_R64_06,UNC Wilmington,14,Texas Tech,3,W_R32_03,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-22-texas-tech.html
2,West,Round of 64,W_R64_07,Arkansas,10,Kansas,7,W_R32_04,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-19-kansas.html
2,West,Round of 64,W_R64_08,Omaha,15,St. John's (NY),2,W_R32_04,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-21-st-johns-ny.html
2,Midwest,Round of 64,M_R64_01,Southern Illinois–Edwardsville,16,Houston,1,M_R32_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-14-houston.html
2,Midwest,Round of 64,M_R64_02,Georgia,9,Gonzaga,8,M_R32_01,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-16-gonzaga.html
2,Midwest,Round of 64,M_R64_03,McNeese,12,Clemson,5,M_R32_02,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-15-clemson.html
2,Midwest,Round of 64,M_R64_04,High Point,13,Purdue,4,M_R32_02,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-12-purdue.html
2,Midwest,Round of 64,M_R64_05,Winner of FF_03,11,Illinois,6,M_R32_03,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-21-illinois.html
2,Midwest,Round of 64,M_R64_06,Troy,14,Kentucky,3,M_R32_03,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-19-kentucky.html
2,Midwest,Round of 64,M_R64_07,Utah State,10,UCLA,7,M_R32_04,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-21-ucla.html
2,Midwest,Round of 64,M_R64_08,Wofford,15,Tennessee,2,M_R32_04,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-18-tennessee.html
3,South,Round of 32,S_R32_01,,,,,S_S16_01,1,
3,South,Round of 32,S_R32_02,,,,,S_S16_01,2,
3,South,Round of 32,S_R32_03,,,,,S_S16_02,1,
3,South,Round of 32,S_R32_04,,,,,S_S16_02,2,
3,East,Round of 32,E_R32_01,,,,,E_S16_01,1,
3,East,Round of 32,E_R32_02,,,,,E_S16_01,2,
3,East,Round of 32,E_R32_03,,,,,E_S16_02,1,
3,East,Round of 32,E_R32_04,,,,,E_S16_02,2,
3,West,Round of 32,W_R32_01,,,,,W_S16_01,1,
3,West,Round of 32,W_R32_02,,,,,W_S16_01,2,
3,West,Round of 32,W_R32_03,,,,,W_S16_02,1,
3,West,Round of 32,W_R32_04,,,,,W_S16_02,2,
3,Midwest,Round of 32,M_R32_01,,,,,M_S16_01,1,
3,Midwest,Round of 32,M_R32_02,,,,,M_S16_01,2,
3,Midwest,Round of 32,M_R32_03,,,,,M_S16_02,1,
3,Midwest,Round of 32,M_R32_04,,,,,M_S16_02,2,
4,South,Sweet 16,S_S16_01,,,,,S_E8_01,1,
4,South,Sweet 16,S_S16_02,,,,,S_E8_01,2,
4,East,Sweet 16,E_S16_01,,,,,E_E8_01,1,
4,East,Sweet 16,E_S16_02,,,,,E_E8_01,2,
4,West,Sweet 16,W_S16_01,,,,,W_E8_01,1,
4,West,Sweet 16,W_S16_02,,,,,W_E8_01,2,
4,Midwest,Sweet 16,M_S16_01,,,,,M_E8_01,1,
4,Midwest,Sweet 16,M_S16_02,,,,,M_E8_01,2,
5,South,Elite Eight,S_E8_01,,,,,N_SF_01,1,
5,East,Elite Eight,E_E8_01,,,,,N_SF_02,1,
5,West,Elite Eight,W_E8_01,,,,,N_SF_01,2,
5,Midwest,Elite Eight,M_E8_01,,,,,N_SF_02,2,
6,National,Final Four,N_SF_01,,,,,N_F_01,1,
6,National,Final Four,N_SF_02,,,,,N_F_01,2,
7,National,Championship,N_F_01,,,,,,,
